"LRTLat","LRTLon"
"NA",NA
"61.295803",-149.593062
"NA",NA
"61.295803",-149.593062
"64.805698",-147.713902
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"57.78754",-152.40481
"64.71006",-147.14688
"64.71006",-147.14688
"33.948589",-86.869243
"33.51374",-86.74919
"33.51374",-86.74919
"33.51374",-86.74919
"32.901389",-85.951389
"32.901389",-85.951389
"32.901389",-85.951389
"33.594083",-86.771944
"33.594083",-86.771944
"33.594083",-86.771944
"31.323855",-86.654931
"34.325833",-86.553889
"32.415278",-87.463889
"32.415278",-87.463889
"33.216389",-85.768056
"31.100833",-87.49
"30.618217",-87.789629
"30.443309",-87.774251
"NA",NA
"30.443309",-87.774251
"33.49944",-86.84551
"33.49944",-86.84551
"33.49944",-86.84551
"33.49944",-86.84551
"33.49944",-86.84551
"32.327156",-86.276514
"32.327156",-86.276514
"30.88451",-87.78793
"30.88451",-87.78793
"32.930278",-86.740278
"31.820943",-86.595622
"31.820943",-86.595622
"34.698611",-87.218056
"34.740565",-86.632171
"34.740565",-86.632171
"34.050472",-87.944444
"34.050472",-87.944444
"34.278983",-86.33694
"33.23831",-87.65352
"NA",NA
"33.23831",-87.65352
"34.1347",-87.3879
"34.88117",-85.78818
"32.428333",-86.306944
"30.39817",-88.24697
"30.78095",-88.16633
"30.78095",-88.16633
"31.7003",-85.8433
"NA",NA
"31.7003",-85.8433
"31.7003",-85.8433
"31.04696",-85.83838
"34.06172",-87.57441
"33.679167",-85.925556
"33.093778",-87.561489
"31.0451",-88.0357
"NA",NA
"31.0451",-88.0357
"31.0451",-88.0357
"32.796694",-88.310528
"32.796694",-88.310528
"32.796694",-88.310528
"32.796694",-88.310528
"32.03038",-88.27093
"30.968778",-88.262417
"32.409167",-86.341667
"31.059444",-88.227778
"34.625853",-87.100856
"33.968056",-85.950833
"31.743999",-86.677254
"31.260997",-86.271837
"32.423921",-86.436308
"31.77832",-85.99821
"31.77832",-85.99821
"31.708889",-86.730278
"31.512778",-85.9925
"31.511427",-85.995735
"NA",NA
"33.91221",-87.08117
"33.219673",-87.596221
"30.61807",-88.289243
"34.59118",-86.97275
"34.59118",-86.97275
"34.632778",-87.105278
"32.506292",-85.063498
"32.506292",-85.063498
"31.238333",-85.348333
"33.639443",-86.879034
"32.6381",-85.40398
"32.6381",-85.40398
"33.5972",-86.629
"NA",NA
"33.5972",-86.629
"34.278983",-86.33694
"34.07693",-86.10145
"33.92134",-85.90446
"33.660833",-87.881111
"33.626833",-87.002083
"34.806667",-87.708333
"34.44449",-85.73707
"34.495278",-87.837222
"34.461917",-87.8355
"33.599386",-86.845624
"33.599386",-86.845624
"34.009408",-85.967884
"34.009408",-85.967884
"33.357439",-86.330667
"34.084361",-86.024278
"34.084361",-86.024278
"34.084361",-86.024278
"34.084361",-86.024278
"NA",NA
"32.84024",-87.87358
"30.281667",-87.718611
"34.296667",-86.355278
"30.723183",-88.246951
"32.743549",-87.615601
"31.486792",-87.375758
"31.486792",-87.375758
"34.670162",-86.61039
"NA",NA
"34.670162",-86.61039
"34.23934",-87.187353
"34.23934",-87.187353
"33.675898",-85.873027
"30.72986",-88.08498
"30.72986",-88.08498
"30.763128",-88.17475
"30.563889",-88.197222
"31.494722",-87.867222
"33.854098",-87.316228
"33.854098",-87.316228
"33.854098",-87.316228
"33.854098",-87.316228
"33.854098",-87.316228
"31.015",-87.114722
"33.70848",-86.86462
"NA",NA
"33.70848",-86.86462
"33.71163",-86.712765
"33.71163",-86.712765
"33.558889",-86.505
"34.551826",-87.3181
"33.999345",-87.846845
"30.76737",-88.16845
"31.488333",-87.939167
"31.488333",-87.939167
"33.077222",-86.068611
"32.408915",-86.320026
"NA",NA
"32.408915",-86.320026
"32.408915",-86.320026
"32.408915",-86.320026
"32.353836",-86.358462
"32.353836",-86.358462
"34.703571",-87.201836
"32.386456",-86.301613
"33.889722",-86.708889
"33.57511",-86.81413
"33.57511",-86.81413
"33.57511",-86.81413
"33.6571",-85.82335
"33.6571",-85.82335
"33.195833",-87.625278
"32.543333",-86.918056
"NA",NA
"32.376667",-85.063889
"33.888056",-85.691944
"31.786111",-86.004444
"32.40636",-85.02281
"33.73069",-87.046673
"NA",NA
"33.73069",-87.046673
"33.73069",-87.046673
"33.272207",-85.465074
"33.383509",-85.487277
"33.383509",-85.487277
"31.352582",-85.525863
"32.38693",-86.309235
"32.38693",-86.309235
"32.64737",-85.36946
"NA",NA
"32.64737",-85.36946
"32.64737",-85.36946
"32.64737",-85.36946
"34.347541",-85.846955
"NA",NA
"34.339722",-85.864722
"34.7",-85.986111
"34.755444",-85.917472
"34.755444",-85.917472
"34.755444",-85.917472
"32.26634",-87.6888
"33.178989",-86.633098
"34.69764",-87.666806
"34.69764",-87.666806
"34.68894",-86.59206
"NA",NA
"34.68894",-86.59206
"34.68894",-86.59206
"31.263611",-85.620278
"32.391587",-86.07563
"32.391587",-86.07563
"32.514014",-85.828028
"NA",NA
"32.514014",-85.828028
"33.556389",-87.019444
"33.581069",-86.101919
"34.4265",-88.124361
"31.873368",-87.669509
"33.995562",-85.710038
"NA",NA
"33.995562",-85.710038
"33.995562",-85.710038
"31.253333",-87.181111
"NA",NA
"31.253333",-87.181111
"31.253333",-87.181111
"33.709468",-86.711876
"31.14353",-88.1668
"31.15694",-88.17772
"NA",NA
"34.876444",-87.7065
"33.506718",-86.811498
"33.506718",-86.811498
"33.506718",-86.811498
"30.70818",-88.09901
"30.70818",-88.09901
"33.6845",-86.2525
"NA",NA
"33.6845",-86.2525
"33.6845",-86.2525
"33.225",-87.466667
"33.58109",-86.10256
"33.60472",-86.50436
"NA",NA
"33.60472",-86.50436
"32.428333",-86.336667
"33.864167",-87.3825
"31.49164",-88.27885
"33.188333",-87.566111
"32.629167",-85.375
"33.359167",-86.33
"33.530083",-88.026389
"34.174444",-87.617778
"34.116413",-93.042044
"34.116413",-93.042044
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"34.688431",-92.297898
"34.688431",-92.297898
"34.561205",-92.481871
"34.561205",-92.481871
"34.575",-92.483333
"NA",NA
"NA",NA
"NA",NA
"35.917009",-89.90985
"36.184367",-94.298376
"34.966487",-92.019724
"NA",NA
"34.812475",-92.175203
"36.281343",-91.632365
"NA",NA
"36.281343",-91.632365
"33.46836",-91.3377
"34.595556",-91.560833
"34.595556",-91.560833
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"35.11089",-92.51355
"NA",NA
"35.11089",-92.51355
"35.11089",-92.51355
"35.719594",-90.688766
"35.129843",-90.255351
"NA",NA
"35.129843",-90.255351
"33.864933",-92.527904
"35.160833",-93.1125
"NA",NA
"NA",NA
"36.138056",-94.2525
"36.230826",-94.491104
"34.126944",-92.901667
"34.126944",-92.901667
"35.29275",-94.37416
"NA",NA
"34.529911",-93.090088
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"NA",NA
"34.568845",-90.629847
"NA",NA
"35.512097",-91.950043
"34.346694",-92.190861
"NA",NA
"34.346694",-92.190861
"34.346694",-92.190861
"NA",NA
"35.391111",-94.223333
"34.648282",-92.302602
"NA",NA
"34.648282",-92.302602
"34.648282",-92.302602
"34.648282",-92.302602
"34.516563",-92.163928
"36.248623",-92.92249
"36.250703",-93.118747
"33.603056",-92.781111
"33.603056",-92.781111
"35.610079",-91.28117
"36.092947",-90.456796
"35.69025",-89.96857
"NA",NA
"35.090692",-93.208466
"35.090692",-93.208466
"35.03035",-93.302902
"34.99969",-92.796595
"35.554868",-91.879083
"NA",NA
"34.661034",-92.27036
"34.661034",-92.27036
"34.70711",-92.18976
"34.063385",-93.079902
"34.063385",-93.079902
"34.063385",-93.079902
"NA",NA
"34.512083",-91.538361
"34.512083",-91.538361
"34.513889",-92.630556
"34.513889",-92.630556
"34.513889",-92.630556
"34.513889",-92.630556
"34.513889",-92.630556
"34.85",-91.583333
"NA",NA
"34.85",-91.583333
"34.643307",-92.307613
"34.643307",-92.307613
"34.561204",-92.481859
"33.97648",-94.36067
"36.400086",-92.423123
"NA",NA
"35.355556",-93.691111
"34.332285",-92.165149
"NA",NA
"36.144444",-94.25
"36.144444",-94.25
"36.144444",-94.25
"34.83633",-92.16553
"NA",NA
"34.83633",-92.16553
"34.83633",-92.16553
"33.320671",-92.695421
"NA",NA
"33.320671",-92.695421
"34.68671",-92.309711
"34.68671",-92.309711
"33.377849",-111.528771
"NA",NA
"33.377849",-111.528771
"33.08406",-112.14305
"NA",NA
"33.08406",-112.14305
"33.08406",-112.14305
"32.774161",-111.32405
"NA",NA
"32.835445",-111.757399
"33.24886",-111.82406
"NA",NA
"35.633724",-112.04435
"33.536449",-112.306559
"NA",NA
"33.56477",-112.22894
"33.56477",-112.22894
"33.4192",-112.11763
"NA",NA
"33.4192",-112.11763
"32.119353",-110.878654
"31.71621",-110.28239
"32.649535",-114.039174
"32.649535",-114.039174
"NA",NA
"32.649535",-114.039174
"33.4479",-112.16287
"33.4479",-112.16287
"33.4479",-112.16287
"33.4479",-112.16287
"33.41153",-112.16918
"34.5298",-112.24216
"NA",NA
"32.33759",-111.075196
"33.42259",-112.09375
"33.42259",-112.09375
"33.943591",-114.19503
"35.022772",-114.51315
"NA",NA
"NA",NA
"NA",NA
"34.547046",-112.449112
"34.547046",-112.449112
"33.68203",-112.4632
"NA",NA
"33.68203",-112.4632
"33.40673",-112.10849
"34.99971",-110.34196
"NA",NA
"34.99971",-110.34196
"34.99971",-110.34196
"33.288889",-111.957222
"33.288889",-111.957222
"33.288889",-111.957222
"33.288889",-111.957222
"33.46214",-112.03067
"34.13134",-114.272797
"34.13134",-114.272797
"34.13134",-114.272797
"34.13134",-114.272797
"34.13134",-114.272797
"33.71267",-112.12774
"NA",NA
"33.71267",-112.12774
"33.406734",-112.097619
"32.543994",-114.61865
"32.543994",-114.61865
"33.349998",-112.489998
"NA",NA
"33.349998",-112.489998
"33.18978",-112.67612
"NA",NA
"33.18978",-112.67612
"33.349998",-112.489998
"33.71291",-112.07426
"33.71291",-112.07426
"33.71291",-112.07426
"NA",NA
"33.41675",-112.082152
"31.552422",-110.369752
"31.552422",-110.369752
"31.552422",-110.369752
"33.44618",-112.18484
"33.44618",-112.18484
"33.420114",-112.099715
"33.420114",-112.099715
"33.69106",-112.1059
"33.51522",-112.16874
"33.51522",-112.16874
"33.287524",-111.959349
"33.42462",-111.98742
"34.00807",-118.232693
"34.00807",-118.232693
"38.018634",-122.082807
"38.018634",-122.082807
"38.018634",-122.082807
"38.018634",-122.082807
"34.0946",-117.50938
"34.0946",-117.50938
"37.617385",-122.054808
"37.617385",-122.054808
"37.617385",-122.054808
"32.85467",-115.526587
"34.257297",-118.397037
"37.723116",-121.682053
"NA",NA
"37.723116",-121.682053
"37.723116",-121.682053
"37.723116",-121.682053
"36.6659",-120.1382
"NA",NA
"36.6659",-120.1382
"38.592431",-121.226528
"38.592431",-121.226528
"38.55926",-121.20737
"40.41766",-122.35509
"NA",NA
"40.41766",-122.35509
"34.024378",-118.34916
"34.56786",-118.13934
"NA",NA
"34.006338",-118.096329
"34.006338",-118.096329
"35.19043",-118.91456
"NA",NA
"36.00849",-120.12092
"34.134449",-117.919096
"33.94999",-117.12088
"NA",NA
"33.94999",-117.12088
"35.3436",-118.7573
"34.01801",-118.211626
"34.01801",-118.211626
"34.01801",-118.211626
"34.01801",-118.211626
"37.59744",-120.99361
"32.87817",-117.175275
"33.783538",-118.225817
"34.037775",-117.912947
"34.037775",-117.912947
"34.037775",-117.912947
"37.609556",-121.041161
"37.609556",-121.041161
"34.2394",-118.3846
"NA",NA
"34.2394",-118.3846
"33.896799",-118.266876
"34.41873",-119.6774
"36.68431",-119.94583
"34.23607",-118.37301
"37.990442",-122.072706
"36.815028",-119.885861
"36.914584",-121.809663
"36.914584",-121.809663
"34.141295",-118.710456
"34.141295",-118.710456
"32.696971",-117.12318
"37.364226",-121.879761
"37.364226",-121.879761
"36.75675",-121.734534
"34.86312",-120.5443
"34.86312",-120.5443
"34.86312",-120.5443
"34.86312",-120.5443
"34.86312",-120.5443
"34.86312",-120.5443
"34.86312",-120.5443
"34.86312",-120.5443
"34.86312",-120.5443
"34.86312",-120.5443
"34.86312",-120.5443
"34.86312",-120.5443
"34.86312",-120.5443
"34.114324",-117.924902
"34.114324",-117.924902
"37.431939",-121.964573
"35.53117",-118.9311
"35.519621",-120.640709
"39.748612",-121.846224
"NA",NA
"40.789003",-124.180868
"40.789003",-124.180868
"37.44787",-122.10351
"35.666585",-120.75157
"38.58513",-121.4643
"NA",NA
"37.41326",-121.97098
"36.9764",-122.1054
"NA",NA
"35.39776",-119.61154
"35.39776",-119.61154
"35.39776",-119.61154
"33.98953",-118.23908
"33.98953",-118.23908
"33.98953",-118.23908
"37.36494",-121.8845
"37.36494",-121.8845
"37.36494",-121.8845
"37.36494",-121.8845
"33.095244",-117.314204
"35.18417",-120.59792
"NA",NA
"35.18417",-120.59792
"33.9949",-118.1539
"NA",NA
"33.9949",-118.1539
"33.9949",-118.1539
"37.960508",-121.255642
"33.648819",-117.931126
"37.3939",-120.4981
"36.8026",-121.6186
"36.8026",-121.6186
"33.788164",-118.214342
"35.95943",-120.00865
"NA",NA
"35.95943",-120.00865
"35.95943",-120.00865
"35.95943",-120.00865
"35.95943",-120.00865
"35.95943",-120.00865
"37.6827",-122.45642
"37.7145",-122.19314
"37.94741",-121.295484
"37.94741",-121.295484
"32.813972",-116.966765
"34.01087",-118.20365
"34.01087",-118.20365
"33.916988",-118.038412
"33.916988",-118.038412
"33.779792",-118.265556
"37.96857",-122.3654
"37.96857",-122.3654
"34.052364",-118.051729
"33.782526",-117.46764
"NA",NA
"33.782526",-117.46764
"38.3929",-122.7231
"38.3929",-122.7231
"35.460318",-118.897903
"34.0628",-117.50586
"34.0628",-117.50586
"37.52179",-122.02111
"37.52179",-122.02111
"37.52179",-122.02111
"37.52179",-122.02111
"37.0656",-120.1983
"33.74801",-117.85873
"37.39719",-121.13969
"NA",NA
"38.036103",-120.944875
"NA",NA
"37.87066",-121.18294
"NA",NA
"37.87066",-121.18294
"37.87066",-121.18294
"33.718848",-117.709077
"NA",NA
"33.718848",-117.709077
"33.095",-117.209
"33.095",-117.209
"33.095",-117.209
"37.6252",-120.8515
"NA",NA
